concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 5";"Passeio";154
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 5";"Passeio";184
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 5";"Passeio";178
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";20133
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";21230
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";26286
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";28153
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";22160
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";23557
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";22763
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";22659
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 6";"Comercial";23440
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 6";"Comercial";21342
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 6";"Comercial";17667
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 6";"Comercial";19455
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 6";"Comercial";17229
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 6";"Comercial";18953
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 6";"Comercial";17431
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 6";"Comercial";19889
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";14940
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";14147
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";22927
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";19006
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";19949
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";16727
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";18549
