Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2760
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2135
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2549
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2012
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2577
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2118
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2712
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2107
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2790
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2161
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2887
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2441
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2941
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2480
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;3080
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2349
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7766
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7582
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7240
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7177
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7543
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7533
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7230
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7168
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7537
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7717
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6868
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6696
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6955
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6932
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7195
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7182
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7188
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6952
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7491
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7456
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7185
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;7071
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6697
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;6519
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;8533
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7200
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7818
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6577
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;8353
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7454
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7877
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7036
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;8434
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7731
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7646
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6619
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7995
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6927
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;8286
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7054
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;8196
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;6763
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;9128
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7688
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;9219
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7628
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;8281
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 8;Comercial;7041
